First Name,Second Name,Contact Number,Dob,Salary,Email,JoinDate,Role,Address,Active
mohamed,shaheed,76372367,05/15/1985,50000,shaheed@email.com,2020-05-15,Developer,13-chennai,TRUE
dinesh,raj,76382367,05/16/1985,50000,dinesh@email.com,2020-05-16,tester,13-chennai,TRUE
harish,raj,76372366,05/17/1985,50000,harsh@email.com,2020-05-17,Developer,13-chennai,TRUE
yousuf,khan,76372361,05/18/1985,50000,yousuf@email.com,2020-05-18,hr,13-chennai,TRUE
rasool,mydeen,76372362,05/19/1985,50000,rasool@email.com,2020-05-19,Developer,13-chennai,TRUE
arif,khan,76372363,05/20/1985,50000,arif@email.com,2020-05-20,tester,13-chennai,TRUE
mohamed,ali,76372364,05/21/1985,50000,mohamed@email.com,2020-05-21,Developer,13-chennai,TRUE
ahamed,ali,763723611,05/22/1985,50000,ahamed@email.com,2020-05-22,tester,13-chennai,TRUE
ali,mohamed,76372365,05/23/1985,50000,ali@email.com,2020-05-23,Developer,13-chennai,TRUE
umar,khan,76372369,05/24/1985,50000,umat@email.com,2020-05-24,hr,13-chennai,TRUE
siraj,khan,763723699,05/25/1985,50000,siraj@email.com,2020-05-25,Developer,13-chennai,TRUE
akthar,khan,763723600,05/26/1985,50000,akthar@email.com,2020-05-26,tester,13-chennai,TRUE
mukthar,khan,7637236777,05/27/1985,50000,mukthar@email.com,2020-05-27,Developer,13-chennai,TRUE
rasool,khan,88473678,05/28/1985,50000,rasoolkk@email.com,2020-05-28,Developer,13-chennai,TRUE
